id,name,name_part,provided_gnd
org_0082,geistliche > Benediktiner > Böhmische Kongregation > Raigern,Raigern,http://d-nb.info/gnd/809495-0
org_0083,geistliche > Trinitarier,Trinitarier,
org_0084,geistliche > Benediktiner > Cassinenser Kongregation > Mailand - S. Simpliciano,Mailand - S. Simpliciano,
org_0085,geistliche > Benediktiner > Bayerische Kongregation > Thierhaupten,Thierhaupten,http://d-nb.info/gnd/4545293-3
org_0086,geistliche > Benediktiner > Bursfelder Kongregation > Lamspringe,Lamspringe,http://d-nb.info/gnd/4823902-1
org_0087,geistliche > Augustiner-Chorherren > Waldhausen,Waldhausen,http://d-nb.info/gnd/1092080686
org_0088,geistliche > Benediktiner > Werden,Werden,http://d-nb.info/gnd/16209420-6
org_0089,geistliche > Benediktiner > Helvetische Kongregation > Rheinau,Rheinau,http://d-nb.info/gnd/4374885-5
org_0090,geistliche > Benediktiner > Toul - St.-Evre,Toul - St.-Evre,
org_0091,geistliche > Säkularklerus > Bamberg - Erzbistum,Bamberg - Erzbistum,
org_0092,geistliche > Benediktiner > Belgische Klöster > Lüttich - St.-Jacques,Lüttich - St.-Jacques,
org_0093,geistliche > Benediktiner > Maurinerkongregation > Paris - St.-Denis,Paris - St.-Denis,
org_0094,weltliche > Olmütz - Societas Incognitorum,Olmütz - Societas Incognitorum,
org_0095,geistliche > Benediktiner > Bursfelder Kongregation > Köln - Deutz,Köln - Deutz,
org_0096,geistliche > Benediktiner > Lorsch,Lorsch,http://d-nb.info/gnd/801576-4
org_0097,geistliche > Benediktiner,Benediktiner,
org_0098,geistliche > Kartäuser > Strassburg,Strassburg,http://d-nb.info/gnd/1122314116
org_0099,geistliche > Zisterzienser > Nordrhein-Westfalen > Düsselthal,Düsselthal,http://d-nb.info/gnd/7748760-6
org_0100,geistliche > Zisterzienser > Osek/Ossegg,Osek/Ossegg,http://d-nb.info/gnd/4395466-2
org_0101,geistliche > Zisterzienser > Kastilien-León > La Santa Espina,La Santa Espina,
org_0102,geistliche > Säkularklerus > Passau - Bistum,Passau - Bistum,
org_0103,geistliche > Benediktiner > Cassinenser Kongregation > Catania - S. Nicoló dell' Arena,Catania - S. Nicoló dell' Arena,
org_0104,weltliche > Bückeburg - Geheimer Rat,Bückeburg - Geheimer Rat,
org_0105,weltliche > Paris - Hof,Paris - Hof,
org_0106,geistliche > Benediktiner > Isle de Lérins - St.-Honorat,Isle de Lérins - St.-Honorat,
org_0107,geistliche > Benediktiner > Solignac,Solignac,http://d-nb.info/gnd/1099409-9
org_0108,geistliche > Säkularklerus > Tours - St.-Martin,Tours - St.-Martin,
org_0109,geistliche > Benediktiner > Helvetische Kongregation > Muri,Muri,http://d-nb.info/gnd/809504-8
org_0110,weltliche > Wien - Universität,Wien - Universität,
org_0111,geistliche > Kartäuser > Astheim,Astheim,http://d-nb.info/gnd/4240698-5
org_0112,geistliche > Zisterzienser > Cîteaux,Cîteaux,http://d-nb.info/gnd/4126338-8
org_0113,geistliche > Säkularklerus > Bourges - Erzbistum,Bourges - Erzbistum,
org_0114,geistliche > Säkularklerus > Freising - Bistum,Freising - Bistum,
org_0115,geistliche > Kartäuser > Ardagger,Ardagger,http://d-nb.info/gnd/4218683-3
org_0116,geistliche > Benediktiner > Österreichische Kongregation > Wien - Schottenkloster,Wien - Schottenkloster,
org_0117,geistliche > Augustiner-Chorherren > Klosterneuburg,Klosterneuburg,http://d-nb.info/gnd/2078067-9
org_0118,geistliche > Kartäuser > Mauerbach,Mauerbach,http://d-nb.info/gnd/16323774-8
org_0119,geistliche > Benediktiner > Mariazell in Österreich,Mariazell in Österreich,http://d-nb.info/gnd/4800063-2
org_0120,geistliche > Augustiner-Chorherren > St. Pölten,St. Pölten,
org_0121,geistliche > Augustiner-Chorherren > Herzogenburg,Herzogenburg,http://d-nb.info/gnd/2084243-0
org_0122,geistliche > Benediktiner > Österreichische Kongregation > Altenburg,Altenburg,http://d-nb.info/gnd/5000463-3
org_0123,geistliche > Säkularklerus > Spital am Pyhrn - Kollegiatstift,Spital am Pyhrn - Kollegiatstift,
org_0124,geistliche > Benediktiner > Österreichische Kongregation > Garsten,Garsten,http://d-nb.info/gnd/4135190-3
org_0125,geistliche > Benediktiner > Österreichische Kongregation > Gleink,Gleink,http://d-nb.info/gnd/4135713-9
org_0126,geistliche > Zisterzienser > Baumgartenberg,Baumgartenberg,http://d-nb.info/gnd/7681118-9
org_0127,geistliche > Augustiner-Chorherren > Pernegg,Pernegg,http://d-nb.info/gnd/16137840-7
org_0128,geistliche > Zisterzienser > Zwettl,Zwettl,http://d-nb.info/gnd/10092270-3
org_0129,geistliche > Benediktiner > Bayerische Kongregation > Weihenstephan,Weihenstephan,http://d-nb.info/gnd/16189197-4
